32,,48,,49,,50,,59,,60,,61,,62,
2695.54,-461.234,2342.98,-1453.86,1249.13,-1017.8,2708.64,-1450.52,2392.47,-2373.79,664.725,-2040.45,2001.34,-1640.54,973.208,-2367.47
2690.19,-460.631,2348.19,-1455.15,1243.89,-1019.36,2709.09,-1445.19,2397.68,-2375.26,664.274,-2045.93,2000.55,-1635.28,974.929,-2372.56
2684.88,-459.775,2353.42,-1456.32,1238.48,-1020.08,2709.49,-1439.87,2402.75,-2377.16,663.903,-2051.42,1999.59,-1630.04,976.795,-2377.59
2679.62,-458.679,2358.68,-1457.34,1233.03,-1019.7,2709.85,-1434.54,2407.73,-2379.28,663.665,-2056.91,1998.44,-1624.84,978.76,-2382.59
2674.4,-457.359,2363.98,-1458.17,1227.81,-1018.09,2710.15,-1429.21,2412.73,-2381.37,663.65,-2062.4,1997.13,-1619.67,980.778,-2387.57
2669.25,-455.815,2369.3,-1458.81,1223.12,-1015.29,2710.38,-1423.88,2417.81,-2383.23,663.997,-2067.89,1995.72,-1614.54,982.823,-2392.54
2664.18,-454.036,2374.64,-1459.31,1219.15,-1011.54,2710.48,-1418.54,2423.01,-2384.75,664.871,-2073.32,1994.27,-1609.41,984.91,-2397.48
2659.2,-451.999,2379.98,-1459.75,1215.88,-1007.17,2710.41,-1413.2,2428.3,-2385.92,666.438,-2078.59,1992.9,-1604.27,987.113,-2402.38
2654.34,-449.688,2385.32,-1460.22,1213.09,-1002.47,2710.11,-1407.87,2433.63,-2386.87,668.828,-2083.54,1991.72,-1599.07,989.571,-2407.16
2649.63,-447.088,2390.64,-1460.83,1210.52,-997.65,2709.55,-1402.56,2438.98,-2387.76,672.095,-2087.96,1990.8,-1593.83,992.462,-2411.68
2645.1,-444.197,2395.94,-1461.68,1208,-992.805,2708.74,-1397.28,2444.3,-2388.74,676.182,-2091.63,1990.12,-1588.54,995.957,-2415.76
2640.76,-441.016,2401.18,-1462.81,1205.48,-987.959,2707.72,-1392.04,2449.6,-2389.88,680.922,-2094.42,1989.51,-1583.25,1000.15,-2419.12
2636.64,-437.554,2406.35,-1464.2,1203.03,-983.08,2706.54,-1386.83,2454.87,-2391.12,686.087,-2096.3,1988.6,-1578.01,1004.98,-2421.46
2632.76,-433.824,2411.49,-1465.75,1200.73,-978.126,2705.24,-1381.65,2460.16,-2392.27,691.468,-2097.42,1986.95,-1572.94,1010.25,-2422.51
2629.13,-429.856,2416.64,-1467.23,1198.6,-973.095,2703.82,-1376.5,2465.52,-2393.05,696.932,-2098.02,1984.21,-1568.38,1015.6,-2422.15
2625.73,-425.693,2421.88,-1468.37,1196.54,-968.038,2702.27,-1371.39,2470.94,-2393.15,702.42,-2098.33,1980.27,-1564.8,1020.7,-2420.45
2622.5,-421.388,2427.22,-1468.82,1194.3,-963.058,2700.52,-1366.35,2476.29,-2392.31,707.916,-2098.45,1975.39,-1562.66,1025.28,-2417.66
2619.42,-416.98,2432.55,-1468.26,1191.58,-958.324,2698.45,-1361.43,2481.35,-2390.39,713.412,-2098.37,1970.08,-1562.18,1029.32,-2414.11
2616.49,-412.468,2437.62,-1466.53,1188.13,-954.089,2695.95,-1356.71,2485.87,-2387.41,718.892,-2097.94,1964.85,-1563.19,1032.92,-2410.13
2613.84,-407.791,2442.14,-1463.65,1183.88,-950.659,2692.86,-1352.35,2489.65,-2383.53,724.31,-2097.01,1959.95,-1565.26,1036.29,-2405.94
2611.7,-402.852,2445.94,-1459.87,1178.94,-948.325,2689.1,-1348.56,2492.63,-2379,729.59,-2095.48,1955.32,-1567.91,1039.6,-2401.72
2610.47,-397.616,2449.09,-1455.53,1173.58,-947.267,2684.66,-1345.59,2494.84,-2374.06,734.667,-2093.37,1950.81,-1570.74,1042.99,-2397.56
2610.55,-392.238,2451.88,-1450.95,1168.13,-947.507,2679.67,-1343.7,2496.41,-2368.88,739.533,-2090.82,1946.26,-1573.5,1046.55,-2393.53
2612.2,-387.118,2454.67,-1446.37,1162.85,-948.919,2674.37,-1343.05,2497.51,-2363.57,744.247,-2087.99,1941.6,-1576.08,1050.35,-2389.74
